Name,URL,Type
PA Dept of State - Newsroom,https://www.pa.gov/agencies/dos/newsroom,state
PA Dept of State - Press Room (legacy),https://www.dos.pa.gov/Pages/Press-Room.aspx,state
Adams County,https://adamscountypa.gov/departments/electionsandvoterregistration,county
Allegheny County,https://www.alleghenycounty.us/elections/index.aspx,county
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county
Beaver County,https://www.beavercountypa.gov/departments/election-bureau,county
Bedford County,https://www.bedfordcountypa.org/departments/elections/index.php,county
Berks County,https://www.berkspa.gov/departments/election-services,county
Blair County,https://www.blairco.org/departments/elections-voter-registration,county
Bradford County,https://www.bradfordcountypa.gov/,county
Bucks County,https://www.buckscounty.gov/1252/Board-of-Elections,county
Butler County,https://www.butlercountypa.gov/160/Bureau-of-Elections,county
Cambria County,https://www.cambriacountypa.gov/election-office,county
Cameron County,https://www.cameroncountypa.com/resident/elections/index.php,county
Carbon County,https://www.carboncountypa.gov/services/elections_voter_registration/index.php,county
Centre County,https://centrecountyvotes.gov/,county
Chester County,https://www.chesco.org/156/Voter-Services,county
Clarion County,https://www.co.clarion.pa.us/government/departments/elections__voter_registration/index.php,county
Clearfield County,https://clearfieldcountypa.gov/197/Election-Voter-Registration,county
Clinton County,https://www.clintoncountypa.gov/departments/voter-registration,county
Columbia County,http://www.columbiapa.org/voter/,county
Crawford County,https://www.crawfordcountypa.net/VoterServices/Pages/home.aspx,county
Cumberland County,https://www.cumberlandcountypa.gov/66/Bureau-of-Elections,county
Dauphin County,https://www.dauphincounty.gov/government/support-services/registration-elections,county
Delaware County,https://delcopa.gov/vote/index.html,county
Elk County,https://countyofelkpa.gov/elk-county-offices/elections-voter-registration/,county
Erie County,https://www.eriecountycouncilpa.gov/elections-voting,county
Fayette County,https://www.fayettecountypa.org/230/Election-Bureau,county
Forest County,https://www.co.forest.pa.us/departments/elections_and_voter_regisration.php,county
Franklin County,https://www.franklincountypa.gov/index.php?section=governments_voter-registration,county
Fulton County,https://www.co.fulton.pa.us/elections.php,county
Greene County,https://greenecountypa.gov/,county
Huntingdon County,https://www.huntingdoncountypa.gov/departments/elections,county
Indiana County,https://www.indianacountypa.gov/departments/voting-and-elections/elections,county
Jefferson County,https://www.jeffersoncountypa.com/departments/commissioners/election-info,county
Juniata County,https://www.juniataco.org/departments/voter-registration,county
Lackawanna County,https://www.lackawannacounty.org/government/departments/elections/index.php,county
Lancaster County,https://co.lancaster.pa.us/elections,county
Lawrence County,https://lawrencecountypa.gov/departments/voter-elections,county
Lebanon County,https://lebanoncountypa.gov/departments/voter-registration,county
Lehigh County,https://www.lehighcounty.org/departments/voter-registration/voter-office-information,county
Luzerne County,https://www.luzernecounty.org/396/Elections,county
Lycoming County,https://www.lyco.org/vote,county
McKean County,https://www.mckeancountypa.org/departments/voter_registration___elections/index.php,county
Mercer County,https://www.mercercountypa.gov/election,county
Mifflin County,https://www.mifflincountypa.gov/voter-registration-elections,county
Monroe County,https://www.monroecountypa.gov/departments/elections,county
Montgomery County,https://www.montgomerycountypa.gov/753/Voter-Services,county
Montour County,https://www.montourcounty.gov/departments/elections,county
Northampton County,https://www.norcopa.gov/election-voting,county
Northumberland County,https://www.norrycopa.net/index.php/board-of-elections/,county
Perry County,https://perryco.org/departments/elections-voter-registration/,county
Philadelphia County,https://vote.phila.gov/,county
Pike County,https://www.pikepa.org/government/elections_office/index.php,county
Potter County,https://pottercountypa.gov/departments/voter_registration_and_elections.php,county
Schuylkill County,https://schuylkillcountypa.gov/departments/election_bureau/index.php,county
Snyder County,https://www.snydercounty.org/departments/elections/,county
Somerset County,http://www.co.somerset.pa.us/department.asp?deptnum=90,county
Sullivan County,https://www.sullivancountypa.gov/offices/election-bureau,county
Susquehanna County,https://www.susqco.com/departments/voter-registration/election-resources,county
Tioga County,https://www.tiogacountypa.us/departments/voter-registration,county
Union County,https://sites.google.com/unionco.org/unioncoelections/home,county
Venango County,https://co.venango.pa.us/356/Voter-Registration-Election-Services,county
Warren County,https://warrencountypa.gov/1192/Elections-Voter-Registration,county
Washington County,https://www.washingtoncopa.gov/elections,county
Wayne County,https://www.waynecountypa.gov/197/Bureau-Of-Elections,county
Westmoreland County,http://www.westmorelandcountypa.gov,county
Wyoming County,https://wyomingcountypa.gov/,county
York County,https://yorkcountypa.gov/503/Elections-Voter-Registration,county
